Processor,GPU,Method,Samples,Avg. Optimization Time [ms], Std. Dev. Time [ms]
Intel i9-13900K,N/A,ros2,16384,62.2642,0.990145
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,MPPI-Generic,128,0.21485300000000002,0.0478001
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,autorally,128,0.464578,0.0336889
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,torchrl,128,46.64942789077753,2.2498916303286087
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,MPPI-Generic,256,0.22645300000000002,0.043313300000000006
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,autorally,256,0.464905,0.0338034
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,torchrl,256,52.884384155273416,2.402423955959606
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,MPPI-Generic,512,0.307676,0.052547
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,autorally,512,0.481166,0.037496100000000004
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,torchrl,512,52.96501350402835,2.365726109028937
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,MPPI-Generic,1024,0.43731899999999996,0.0548496
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,autorally,1024,0.5196149999999999,0.0397184
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,torchrl,1024,53.149573087692225,2.1443925503999957
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,autorally,2048,0.637062,0.043267900000000005
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,MPPI-Generic,2048,0.844269,0.0613633
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,torchrl,2048,53.575214624404964,2.4539371433302883
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,autorally,4096,1.2952299999999999,0.056928
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,MPPI-Generic,4096,1.48358,0.061568200000000003
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,torchrl,4096,55.10376334190371,2.424383291043795
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,autorally,6144,1.45951,0.0617682
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,MPPI-Generic,6144,2.1196,0.0726572
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,torchrl,6144,57.42968893051147,2.136044589193736
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,autorally,8192,2.07623,0.07386569999999999
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,MPPI-Generic,8192,2.90615,0.084103
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,torchrl,8192,60.502972364425666,2.448291157722628
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,autorally,16384,4.10761,0.11296300000000001
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,MPPI-Generic,16384,5.66518,0.126393
AMD Ryzen 5 5600X,NVIDIA GTX 1050 Ti,torchrl,16384,73.40314197540287,1.9306471921792017
AMD Ryzen 5 5600X,NVIDIA GTX 1650,MPPI-Generic,128,0.14593299999999998,0.0207775
AMD Ryzen 5 5600X,NVIDIA GTX 1650,autorally,128,0.25550300000000004,0.0176416
AMD Ryzen 5 5600X,NVIDIA GTX 1650,torchrl,128,46.52393269538882,1.9606853912492164
AMD Ryzen 5 5600X,NVIDIA GTX 1650,MPPI-Generic,256,0.15295599999999998,0.018835400000000002
AMD Ryzen 5 5600X,NVIDIA GTX 1650,autorally,256,0.256436,0.023153999999999997
AMD Ryzen 5 5600X,NVIDIA GTX 1650,torchrl,256,52.68726444244381,2.313450177948185
AMD Ryzen 5 5600X,NVIDIA GTX 1650,MPPI-Generic,512,0.201461,0.021816400000000003
AMD Ryzen 5 5600X,NVIDIA GTX 1650,autorally,512,0.264917,0.0226419
AMD Ryzen 5 5600X,NVIDIA GTX 1650,torchrl,512,52.19618368148803,2.124205141479847
AMD Ryzen 5 5600X,NVIDIA GTX 1650,MPPI-Generic,1024,0.28475,0.0293078
AMD Ryzen 5 5600X,NVIDIA GTX 1650,autorally,1024,0.325993,0.0224642
AMD Ryzen 5 5600X,NVIDIA GTX 1650,torchrl,1024,52.32941579818725,1.7772938567851295
AMD Ryzen 5 5600X,NVIDIA GTX 1650,autorally,2048,0.424721,0.025105799999999998
AMD Ryzen 5 5600X,NVIDIA GTX 1650,MPPI-Generic,2048,0.504621,0.029476699999999998
AMD Ryzen 5 5600X,NVIDIA GTX 1650,torchrl,2048,52.57812213897705,2.109717144827896
AMD Ryzen 5 5600X,NVIDIA GTX 1650,autorally,4096,0.806484,0.044721
